학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,lat,long,데이터기준일자,제공기관코드,제공기관명
B000011291,대동세무고등학교,고등학교,1925-04-18,사립,본교,운영,서울특별시 종로구 계동 35,서울특별시 종로구 계동길 84-10,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2023-11-15,37.58158273,126.9879513,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000013466,대성고등학교,고등학교,1972-01-22,사립,본교,운영,서울특별시 은평구 갈현동 267-17,서울특별시 은평구 갈현로29길 51-24,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2023-11-15,37.62316122,126.9097907,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008351,신동중학교,중학교,1990-01-20,공립,본교,운영,서울특별시 서초구 잠원동 54-6,서울특별시 서초구 나루터로 27,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2023-11-15,37.5169159,127.0129154,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008207,불암중학교,중학교,1993-03-01,공립,본교,운영,서울특별시 노원구 하계동 288-3,서울특별시 노원구 한글비석로5길 45,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2023-11-15,37.64573547,127.0734572,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008224,신상중학교,중학교,1988-03-01,공립,본교,운영,서울특별시 노원구 상계동 754-4,서울특별시 노원구 동일로216길 42,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2023-11-15,37.65190308,127.0639869,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008205,상경중학교,중학교,1989-03-01,공립,본교,운영,서울특별시 노원구 상계동 653,서울특별시 노원구 동일로227길 61,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2023-11-15,37.66714877,127.0537053,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002302,서울언북초등학교,초등학교,1945-04-01,공립,본교,운영,서울특별시 강남구 청담동 27,서울특별시 강남구 삼성로135길 42,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2023-11-15,37.52012517,127.0447158,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008363,도곡중학교,중학교,1991-04-23,공립,본교,운영,서울특별시 강남구 도곡동 541-2,서울특별시 강남구 언주로57길 31,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2023-11-15,37.49230771,127.0452179,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008154,숭문중학교,중학교,1906-04-01,사립,본교,운영,서울특별시 마포구 대흥동 28-16,서울특별시 마포구 숭문길 99,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2023-11-15,37.55089081,126.9457689,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002376,서울신양초등학교,초등학교,1979-04-11,공립,본교,운영,서울특별시 광진구 자양동 504,서울특별시 광진구 능동로 42,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2023-11-15,37.53462395,127.0699953,2024-03-22,C738100,청주대학교 지방교육재정연구원
